,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,149,21,5,0
healthy,6,63,1,1
nutrient_deficiency,7,7,38,0
powdery_mildew,3,0,1,29
