,bacterial_spot,cercospora_leaf_spot,curl_virus,healthy,nutrient_deficiency,powdery_mildew
bacterial_spot,265,0,2,1,2,0
cercospora_leaf_spot,1,505,0,15,12,3
curl_virus,3,4,415,5,2,0
healthy,0,18,1,431,3,2
nutrient_deficiency,0,15,1,10,343,0
powdery_mildew,1,3,0,1,0,184
