,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,154,19,14,4
healthy,7,56,5,0
nutrient_deficiency,14,7,21,0
powdery_mildew,0,0,0,30
