split,class_name,count
train,bacterial_spot,908
train,cercospora_leaf_spot,1219
train,curl_virus,1140
train,healthy,1081
train,nutrient_deficiency,764
train,powdery_mildew,602
validation,bacterial_spot,114
validation,cercospora_leaf_spot,151
validation,curl_virus,121
validation,healthy,99
validation,nutrient_deficiency,84
validation,powdery_mildew,66
test,bacterial_spot,258
test,cercospora_leaf_spot,313
test,curl_virus,321
test,healthy,301
test,nutrient_deficiency,219
test,powdery_mildew,175
