class_index,class_name,support,precision,recall_sensitivity,specificity,f1,auc_ovr,tp,fp,fn,tn
0,cercospora_leaf_spot,191,0.86,0.900523560209424,0.8,0.8797953964194374,0.9382011967090501,172,28,19,112
1,healthy,68,0.7714285714285715,0.7941176470588235,0.9391634980988594,0.782608695652174,0.9498434354730486,54,16,14,247
2,nutrient_deficiency,42,0.7857142857142857,0.5238095238095238,0.9792387543252595,0.6285714285714286,0.8754737188993245,22,6,20,283
3,powdery_mildew,30,0.9090909090909091,1.0,0.9900332225913622,0.9523809523809523,0.9975083056478404,30,3,0,298
