,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,172,11,5,3
healthy,13,54,1,0
nutrient_deficiency,15,5,22,0
powdery_mildew,0,0,0,30
