,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,131,13,9,8
healthy,12,51,2,1
nutrient_deficiency,22,4,34,0
powdery_mildew,1,0,0,43
