,bacterial_spot,cercospora_leaf_spot,curl_virus,healthy,nutrient_deficiency,powdery_mildew
bacterial_spot,273,0,5,0,0,0
cercospora_leaf_spot,1,353,3,2,1,0
curl_virus,4,3,273,3,0,0
healthy,0,0,0,282,0,0
nutrient_deficiency,0,0,2,0,217,0
powdery_mildew,0,0,0,0,0,165
