class_index,class_name,support,precision,recall_sensitivity,specificity,f1,auc_ovr,tp,fp,fn,tn
0,bacterial_spot,278,0.9820143884892086,0.9820143884892086,0.9961802902979373,0.9820143884892086,0.9994174255706206,273,5,5,1304
1,cercospora_leaf_spot,360,0.9915730337078652,0.9805555555555555,0.9975550122249389,0.9860335195530726,0.9978911980440098,353,3,7,1224
2,curl_virus,283,0.9646643109540636,0.9646643109540636,0.9923312883435583,0.9646643109540636,0.9987006546857725,273,10,10,1294
3,healthy,282,0.9825783972125436,1.0,0.9961685823754789,0.9912126537785588,0.9999619575555012,282,5,0,1300
4,nutrient_deficiency,219,0.9954128440366973,0.9908675799086758,0.9992690058479532,0.9931350114416476,0.999989986381479,217,1,2,1367
5,powdery_mildew,165,1.0,1.0,1.0,1.0,1.0,165,0,0,1422
