,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,157,4,19,1
healthy,18,45,5,0
nutrient_deficiency,8,3,52,0
powdery_mildew,0,1,0,19
