,bacterial_spot,cercospora_leaf_spot,curl_virus,healthy,nutrient_deficiency,powdery_mildew
bacterial_spot,293,1,2,2,0,0
cercospora_leaf_spot,3,504,4,5,7,5
curl_virus,1,3,384,6,3,0
healthy,0,15,4,440,2,0
nutrient_deficiency,0,13,2,4,331,0
powdery_mildew,0,1,0,0,0,213
