,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,153,24,13,1
healthy,5,50,1,0
nutrient_deficiency,12,5,32,1
powdery_mildew,1,0,0,34
