,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,155,16,18,2
healthy,15,37,4,0
nutrient_deficiency,15,5,30,0
powdery_mildew,0,1,0,34
