,bacterial_spot,cercospora_leaf_spot,curl_virus,healthy,nutrient_deficiency,powdery_mildew
bacterial_spot,271,2,1,1,2,0
cercospora_leaf_spot,1,523,1,19,4,0
curl_virus,3,1,382,5,0,0
healthy,1,16,0,441,4,0
nutrient_deficiency,2,21,3,7,333,1
powdery_mildew,0,1,0,0,0,202
