,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,141,10,8,2
healthy,17,43,5,1
nutrient_deficiency,13,4,43,0
powdery_mildew,2,1,0,41
