,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,184,1162,254,83
healthy,166,284,1002,29
nutrient_deficiency,7,87,967,6
powdery_mildew,269,1,479,94
