,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,154,19,7,1
healthy,11,52,5,0
nutrient_deficiency,18,4,41,0
powdery_mildew,0,1,0,19
