,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,163,17,8,3
healthy,12,55,1,0
nutrient_deficiency,12,8,22,0
powdery_mildew,0,0,0,30
