,bacterial_spot,cercospora_leaf_spot,curl_virus,healthy,nutrient_deficiency,powdery_mildew
bacterial_spot,275,0,1,0,1,0
cercospora_leaf_spot,6,515,2,16,7,2
curl_virus,3,2,382,3,1,0
healthy,2,12,0,443,5,0
nutrient_deficiency,1,13,2,10,341,0
powdery_mildew,0,0,1,0,0,202
