,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,460,377,61,1
healthy,118,206,4,1
nutrient_deficiency,78,135,54,0
powdery_mildew,61,94,0,7
