Model,Fold,Accuracy,Recall,TNR,F1,MCC,TrainTime_s
Proposed_AttnV2,1,0.9899328859060402,0.9885714285714285,0.9979757085020243,0.9893209354747817,0.9880163956535472,1184.0575120449066
Proposed_AttnV2,2,0.9904458598726115,0.9919354838709676,0.998073217726397,0.9914034828807555,0.9885921233162904,1143.3145635128021
Proposed_AttnV2,3,0.99581589958159,0.9953486859224564,0.999173042378868,0.9954370530906868,0.9949751500473286,1184.0507686138153
Proposed_AttnV2,4,0.9813311688311688,0.980273043796958,0.9963294102267163,0.979826635145784,0.9775890723916419,1155.4297950267792
Proposed_AttnV2,5,0.967741935483871,0.9661312536410976,0.9935619133471035,0.966014792802303,0.9614268112052456,1142.1333677768707
Proposed_AttnV2,6,1.0,1.0,1.0,1.0,1.0,1153.8376491069794
Proposed_AttnV2,7,0.9868744872846595,0.9880952380952381,0.9971811134601832,0.9890822020122139,0.9843057144556895,1155.6316487789154
Proposed_AttnV2,8,0.9920141969831411,0.9910714285714285,0.998421052631579,0.9912806126317385,0.9904792660244419,1185.6047432422638
Proposed_AttnV2,9,0.9907949790794979,0.9899931992616341,0.9982316678872651,0.9890890145682079,0.9889764773101206,1152.4596395492554
Proposed_AttnV2,10,0.9735945485519591,0.9682728598387373,0.9947401908535833,0.969224291386087,0.9681062220561777,1173.715668439865
