Model,Fold,Epoch,train_loss,train_acc,val_loss,val_acc
Proposed_AttnV2,1,1,1.2494617932642238,0.39618800888230943,1.7877078952405276,0.1761744966442953
Proposed_AttnV2,1,2,0.9547604810829784,0.5032383419689119,1.7623513784984615,0.1912751677852349
Proposed_AttnV2,1,3,0.8775261573929155,0.5364544781643227,1.8001018074534882,0.174496644295302
Proposed_AttnV2,1,4,0.8054663119361984,0.5676350851221318,1.9108655268713932,0.17953020134228187
Proposed_AttnV2,1,5,0.8045472504032002,0.5904885270170245,1.937153244178567,0.24496644295302014
Proposed_AttnV2,1,6,0.7521569912385976,0.6031643227239082,1.7662684401409738,0.3808724832214765
Proposed_AttnV2,1,7,0.7807413858894416,0.5466321243523317,1.4457008738645771,0.4697986577181208
Proposed_AttnV2,1,8,0.7407837215835831,0.5672649888971133,1.107710841718136,0.6484899328859061
Proposed_AttnV2,1,9,0.7141573861031776,0.5609733530717986,0.8491766424787125,0.785234899328859
Proposed_AttnV2,1,10,0.7128335363683129,0.6212065136935603,0.6585133915779574,0.8993288590604027
Proposed_AttnV2,1,11,0.7063433705745672,0.5566247224278312,0.5528112661918537,0.9496644295302014
Proposed_AttnV2,1,12,0.6838376548535554,0.6067727609178386,0.5038310041363607,0.9840604026845637
Proposed_AttnV2,1,13,0.7095650761856316,0.5706883789785344,0.4842523616432344,0.9899328859060402
Proposed_AttnV2,1,14,0.7154216320977045,0.5744818652849741,0.476651363324799,0.9899328859060402
Proposed_AttnV2,1,15,0.7218387460902741,0.63119911176906,0.47387710913715747,0.9899328859060402
Proposed_AttnV2,1,16,0.6807272803730474,0.5958549222797928,0.47117243677177684,0.9899328859060402
Proposed_AttnV2,1,17,0.6659235938401861,0.5909511472982976,0.4680618983787178,0.9899328859060402
Proposed_AttnV2,1,18,0.6964842940506275,0.5845669874167283,0.46598762513807157,0.9899328859060402
Proposed_AttnV2,1,19,0.6656769374226924,0.5775351591413768,0.4643320555254917,0.9899328859060402
Proposed_AttnV2,1,20,0.6730198516923352,0.6054774241302738,0.46318913986218857,0.9899328859060402
Proposed_AttnV2,1,21,0.6900387474733489,0.5858623242042931,0.4624503390901041,0.9899328859060402
Proposed_AttnV2,1,22,0.668246702606108,0.5951147298297558,0.4620171315317986,0.9899328859060402
Proposed_AttnV2,1,23,0.65540652430384,0.6154700222057735,0.46108105438667657,0.9899328859060402
Proposed_AttnV2,1,24,0.6904065943840784,0.5696706143597335,0.4626172078935892,0.9899328859060402
Proposed_AttnV2,1,25,0.694896497389372,0.5523686158401184,0.46382301425773825,0.9899328859060402
Proposed_AttnV2,1,26,0.6776275274755336,0.5611584011843079,0.46433048160284157,0.9899328859060402
Proposed_AttnV2,1,27,0.670393445772387,0.5548667653589934,0.46485379218255113,0.9899328859060402
Proposed_AttnV2,1,28,0.6815511303244477,0.6264803849000741,0.46571303534027714,0.9899328859060402
Proposed_AttnV2,1,29,0.647842701102609,0.6152849740932642,0.464954876459685,0.9899328859060402
Proposed_AttnV2,1,30,0.6623307672983447,0.6252775721687639,0.4648044495374564,0.9899328859060402
Proposed_AttnV2,2,1,1.2644330924425389,0.4117647058823529,1.7816204629885923,0.2014331210191083
Proposed_AttnV2,2,2,0.9801067853275733,0.5421630677587491,1.7881927960997175,0.2014331210191083
Proposed_AttnV2,2,3,0.8625224564648881,0.5371370067014147,1.8809577203859948,0.2014331210191083
Proposed_AttnV2,2,4,0.8149478096440046,0.5456999255398362,2.0367527828095064,0.2014331210191083
Proposed_AttnV2,2,5,0.787069276119468,0.5749255398361877,2.021298009119216,0.2014331210191083
Proposed_AttnV2,2,6,0.7893722178282706,0.5212211466865228,1.8544517094921913,0.25955414012738853
Proposed_AttnV2,2,7,0.7715859376310148,0.5755770662695457,1.5244131198354587,0.4179936305732484
Proposed_AttnV2,2,8,0.7441396431876756,0.5868391660461653,1.151311888436603,0.6114649681528662
Proposed_AttnV2,2,9,0.7301954400246479,0.5533320923306031,0.7997270122075536,0.839968152866242
