,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,723,129,46,1
healthy,178,142,7,2
nutrient_deficiency,161,35,71,0
powdery_mildew,83,60,0,19
