,bacterial_spot,cercospora_leaf_spot,curl_virus,healthy,nutrient_deficiency,powdery_mildew
bacterial_spot,290,2,4,1,1,0
cercospora_leaf_spot,0,515,2,7,3,1
curl_virus,3,12,379,2,1,0
healthy,1,18,6,435,1,0
nutrient_deficiency,1,26,1,2,320,0
powdery_mildew,0,4,0,3,0,207
