class_index,class_name,support,precision,recall_sensitivity,specificity,f1,auc_ovr,tp,fp,fn,tn
0,bacterial_spot,298,0.9830508474576272,0.9731543624161074,0.9974358974358974,0.9780775716694773,0.9985028394424367,290,5,8,1945
1,cercospora_leaf_spot,528,0.8925476603119584,0.9753787878787878,0.963953488372093,0.9321266968325792,0.9921181289640593,515,62,13,1658
2,curl_virus,397,0.9668367346938775,0.9546599496221663,0.9929767693138843,0.9607097591888466,0.9956467128531516,379,13,18,1838
3,healthy,461,0.9666666666666667,0.9436008676789588,0.9916060436485731,0.9549945115257958,0.9960142363441924,435,15,26,1772
4,nutrient_deficiency,350,0.9815950920245399,0.9142857142857143,0.9968387776606955,0.9467455621301775,0.994821616739425,320,6,30,1892
5,powdery_mildew,214,0.9951923076923077,0.9672897196261683,0.9995083579154376,0.981042654028436,0.9994486256995561,207,1,7,2033
