,bacterial_spot,cercospora_leaf_spot,curl_virus,healthy,nutrient_deficiency,powdery_mildew
bacterial_spot,257,1,0,0,0,0
cercospora_leaf_spot,0,310,3,0,0,0
curl_virus,7,4,308,2,0,0
healthy,3,3,4,290,1,0
nutrient_deficiency,0,0,2,0,217,0
powdery_mildew,0,1,0,0,0,174
