,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,141,9,6,5
healthy,5,56,4,1
nutrient_deficiency,15,0,45,0
powdery_mildew,2,1,0,41
