,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,164,14,3,0
healthy,5,54,6,3
nutrient_deficiency,18,4,40,1
powdery_mildew,0,1,0,19
