,bacterial_spot,cercospora_leaf_spot,curl_virus,healthy,nutrient_deficiency,powdery_mildew
bacterial_spot,226,0,4,0,1,0
cercospora_leaf_spot,0,319,9,3,2,0
curl_virus,2,0,323,2,1,0
healthy,0,1,1,304,1,0
nutrient_deficiency,0,2,3,1,195,0
powdery_mildew,0,0,0,0,0,188
