,bacterial_spot,cercospora_leaf_spot,curl_virus,healthy,nutrient_deficiency
bacterial_spot,74,14,0,3,56
cercospora_leaf_spot,13,97,0,5,60
curl_virus,0,29,0,180,214
healthy,0,34,1,393,30
nutrient_deficiency,0,9,0,8,427
