model_internal,model,epoch,train_loss_mean,train_loss_std,train_accuracy_mean,train_accuracy_std,folds_at_epoch
EfficientNet_B0,EfficientNet-B0,1,0.6602793249560566,0.011990081051281822,0.903170731707317,0.006979569441084483,10
EfficientNet_B0,EfficientNet-B0,2,0.4295419188941397,0.004933718507033051,0.992780487804878,0.0028702756635598284,10
EfficientNet_B0,EfficientNet-B0,3,0.4192700193102767,0.00417839652252423,0.9948780487804878,0.0018857582934541325,10
EfficientNet_B0,EfficientNet-B0,4,0.4122892248601448,0.00645775419697881,0.9966829268292683,0.002191203971111882,10
EfficientNet_B0,EfficientNet-B0,5,0.4059126284064316,0.0034158115371311047,0.9985853658536584,0.0008741255320790986,10
EfficientNet_B0,EfficientNet-B0,6,0.40333398366555934,0.002568238224754474,0.998341463414634,0.0009536831413733792,10
EfficientNet_B0,EfficientNet-B0,7,0.40257053959660416,0.0029483767708155424,0.9980975609756098,0.0011135540597245078,10
EfficientNet_B0,EfficientNet-B0,8,0.40013111817836766,0.0028370458373109773,0.9986341463414634,0.0011451588202705603,10
EfficientNet_B0,EfficientNet-B0,9,0.3982636702060699,0.0009802581872809788,0.9997560975609756,0.00034493013716416985,2
EfficientNet_B0,EfficientNet-B0,10,0.3999333836974167,,0.9990243902439024,,1
EfficientNet_B0,EfficientNet-B0,11,0.3982476275141646,,0.9980487804878048,,1
MobileNetV3_Small,MobileNetV3-Small,1,0.6975404390358343,0.01397936177537871,0.8732682926829268,0.009142781601719985,10
MobileNetV3_Small,MobileNetV3-Small,2,0.4440427731130181,0.005771224315350592,0.9899512195121952,0.003341849126156827,10
MobileNetV3_Small,MobileNetV3-Small,3,0.42777026766102483,0.004835504540133137,0.9957560975609756,0.002095606324403023,10
MobileNetV3_Small,MobileNetV3-Small,4,0.42102675391988054,0.00474901399655889,0.9959512195121951,0.002265362212275482,10
MobileNetV3_Small,MobileNetV3-Small,5,0.41405367449434793,0.004451514465372639,0.9984390243902439,0.0011904393637543387,10
MobileNetV3_Small,MobileNetV3-Small,6,0.41321460443298985,0.002662992376645522,0.9975121951219512,0.0008741255320790358,10
MobileNetV3_Small,MobileNetV3-Small,7,0.40865134176975343,0.002589473356220723,0.9984878048780488,0.0007433580130512678,10
MobileNetV3_Small,MobileNetV3-Small,8,0.40656689717129957,0.0026281116482961024,0.9984878048780488,0.0011370493487510723,10
MobileNetV3_Small,MobileNetV3-Small,9,0.40664972097117724,0.004492685034413674,0.9980975609756098,0.0018460835095264624,10
MobileNetV3_Small,MobileNetV3-Small,10,0.40568522977247473,0.0027831868799120278,0.9989268292682926,0.0010575357750575772,5
MobileNetV3_Small,MobileNetV3-Small,11,0.4039426891009013,0.0008080025745829022,0.9985365853658535,0.00048780487804889194,3
MobileNetV3_Small,MobileNetV3-Small,12,0.3976233874297724,,1.0,,1
ChiliLiteV2_NoColor_Ablation,Proposed,1,0.7360731803149712,0.0389507283775364,0.8351219512195123,0.02489345396884572,10
ChiliLiteV2_NoColor_Ablation,Proposed,2,0.43041184450068126,0.008890162160033558,0.9861463414634146,0.004076082564340397,10
ChiliLiteV2_NoColor_Ablation,Proposed,3,0.41763379388902244,0.00933614471522496,0.9919512195121951,0.0038011934073369125,10
ChiliLiteV2_NoColor_Ablation,Proposed,4,0.41585384370350253,0.012340733275641978,0.9924390243902439,0.004334179816345278,10
ChiliLiteV2_NoColor_Ablation,Proposed,5,0.4063431811914211,0.006674022540036585,0.9964878048780488,0.0017482510641580206,10
ChiliLiteV2_NoColor_Ablation,Proposed,6,0.406161245322809,0.007933692032570085,0.9956585365853658,0.002088022681950105,10
ChiliLiteV2_NoColor_Ablation,Proposed,7,0.4034879175250123,0.005992190648567354,0.9968292682926829,0.0021231812775935454,10
ChiliLiteV2_NoColor_Ablation,Proposed,8,0.40306112341764494,0.009648929756843793,0.9963414634146341,0.0033971678724839275,10
ChiliLiteV2_NoColor_Ablation,Proposed,9,0.4052008433138452,0.00585600726727163,0.9954634146341463,0.002788511221264612,10
ChiliLiteV2_NoColor_Ablation,Proposed,10,0.4071321526969351,0.012295396764097626,0.9945121951219512,0.004438373425486022,8
ChiliLiteV2_NoColor_Ablation,Proposed,11,0.39963737749471895,0.007934579646819288,0.9974390243902439,0.002561943293754279,4
ChiliLiteV2_NoColor_Ablation,Proposed,12,0.40096815174188066,0.006245908374270492,0.9978861788617887,0.001971439943574288,3
ChiliLiteV2_NoColor_Ablation,Proposed,13,0.3993908447172584,0.006466086438410659,0.997560975609756,0.0013797205486566794,2
ResNet18,ResNet18,1,0.549319065285892,0.009785893457621203,0.9440487804878048,0.005637611998550649,10
ResNet18,ResNet18,2,0.432198321923977,0.008275073430761736,0.994,0.002662399917885607,10
ResNet18,ResNet18,3,0.42213940045891735,0.003455658540031398,0.9964878048780488,0.0017177382304056686,10
ResNet18,ResNet18,4,0.4192082122680617,0.01330677569497497,0.9960975609756098,0.003076567142833237,10
ResNet18,ResNet18,5,0.41585388463008693,0.009490904278994712,0.9972682926829268,0.0018850571377156788,10
ResNet18,ResNet18,6,0.41481721468378857,0.011296115354880426,0.9970731707317073,0.002797504151883759,10
ResNet18,ResNet18,7,0.41192022745492984,0.010504119983487454,0.9971219512195122,0.002763749360822436,10
ResNet18,ResNet18,8,0.4112526074880506,0.009202936201200147,0.9972195121951218,0.002182135630487196,10
ResNet18,ResNet18,9,0.41022872886037437,0.010015350329792299,0.9975609756097561,0.001758805500226361,3
ResNet18,ResNet18,10,0.39809781965686053,0.0030095456156770664,0.9997560975609756,0.00034493013716416985,2
ResNet18,ResNet18,11,0.39982855651436777,0.0037101688176327564,0.998780487804878,0.0010347904114926274,2
ResNet18,ResNet18,12,0.4188847261521874,,0.9970731707317072,,1
ResNet18,ResNet18,13,0.4051973525489248,,0.9990243902439024,,1
ShuffleNetV2_x0_5,ShuffleNetV2-×0.5,1,1.4106505666942133,0.011193629062699544,0.7152682926829268,0.03475040603805422,10
ShuffleNetV2_x0_5,ShuffleNetV2-×0.5,2,0.7721697247551709,0.04204050246981217,0.9181463414634147,0.01484722917443652,10
ShuffleNetV2_x0_5,ShuffleNetV2-×0.5,3,0.5006095717592938,0.012841907545002567,0.9739024390243902,0.004513476709522571,10
ShuffleNetV2_x0_5,ShuffleNetV2-×0.5,4,0.4611040494383835,0.008362023992975995,0.9834634146341463,0.00373240689901735,10
ShuffleNetV2_x0_5,ShuffleNetV2-×0.5,5,0.4436810083621886,0.005788895923831393,0.9880487804878049,0.004668960655402034,10
ShuffleNetV2_x0_5,ShuffleNetV2-×0.5,6,0.4361248121610502,0.003980317779522963,0.9904878048780488,0.001678029873215522,10
ShuffleNetV2_x0_5,ShuffleNetV2-×0.5,7,0.429054342909557,0.00394140923804647,0.9919512195121951,0.0024363128558978512,10
ShuffleNetV2_x0_5,ShuffleNetV2-×0.5,8,0.4239106277605382,0.003927913442036561,0.994439024390244,0.0015630068085459702,10
ShuffleNetV2_x0_5,ShuffleNetV2-×0.5,9,0.42385730316580794,0.005569931831308071,0.993609756097561,0.002829922361551671,10
ShuffleNetV2_x0_5,ShuffleNetV2-×0.5,10,0.41705294652359914,0.0030004625868854714,0.9959891598915989,0.0010569105691056405,9
ShuffleNetV2_x0_5,ShuffleNetV2-×0.5,11,0.41517754396287404,0.0016493698255537596,0.996951219512195,0.00046703761353967757,4
ShuffleNetV2_x0_5,ShuffleNetV2-×0.5,12,0.4131659265068488,0.0021533440730696304,0.996260162601626,0.00028163427765341215,3
ShuffleNetV2_x0_5,ShuffleNetV2-×0.5,13,0.411275826081997,0.0030475838454791294,0.9958536585365854,0.00034493013716416985,2
ShuffleNetV2_x0_5,ShuffleNetV2-×0.5,14,0.4107649834563092,,0.9960975609756098,,1
ShuffleNetV2_x0_5,ShuffleNetV2-×0.5,15,0.4115511209208791,,0.9960975609756098,,1
SqueezeNet1_1,SqueezeNet1.1,1,0.837077193629451,0.10127373641661276,0.7833170731707317,0.0602520977935104,10
SqueezeNet1_1,SqueezeNet1.1,2,0.5128049843485762,0.038715301445536476,0.9633170731707317,0.022556309485974733,10
SqueezeNet1_1,SqueezeNet1.1,3,0.4721424888692251,0.027761653534759557,0.9807804878048781,0.01359295132530235,10
SqueezeNet1_1,SqueezeNet1.1,4,0.45223639203571686,0.024012009418270645,0.9878048780487804,0.009354894220255363,10
SqueezeNet1_1,SqueezeNet1.1,5,0.441305673625411,0.01942038416655019,0.9906341463414634,0.009084761079160222,10
SqueezeNet1_1,SqueezeNet1.1,6,0.4306250160467334,0.013124405288355538,0.9939512195121951,0.005403660845398265,10
SqueezeNet1_1,SqueezeNet1.1,7,0.4242894865681485,0.006284534607739416,0.9961463414634146,0.002010613651336463,10
SqueezeNet1_1,SqueezeNet1.1,8,0.42095939793819326,0.006398803261508545,0.9969268292682927,0.0025919535643590627,10
SqueezeNet1_1,SqueezeNet1.1,9,0.41439492178835513,0.003287160455094251,0.9982926829268293,0.0007362101738323471,10
SqueezeNet1_1,SqueezeNet1.1,10,0.4175746438464498,0.00919957156271058,0.9973983739837399,0.002083903352516451,9
SqueezeNet1_1,SqueezeNet1.1,11,0.4135823063007215,0.0029303153813295454,0.9982317073170731,0.0008219600078108788,8
SqueezeNet1_1,SqueezeNet1.1,12,0.41179466406891985,0.0034069957710077922,0.9991219512195121,0.0010575357750575317,5
SqueezeNet1_1,SqueezeNet1.1,13,0.41033205512093335,0.004078824248580152,0.999349593495935,0.0005632685553069605,3
SqueezeNet1_1,SqueezeNet1.1,14,0.4081307094416967,0.0013630261819615299,0.9990243902439024,0.0013797205486567187,2
SqueezeNet1_1,SqueezeNet1.1,15,0.40859214172130676,0.00021848321820562905,0.998780487804878,0.0010347904114925489,2
SqueezeNet1_1,SqueezeNet1.1,16,0.4093560877660425,,0.997560975609756,,1
