epoch,train_loss,train_accuracy,model_internal,model,fold,history_file
2,0.4256341537033639,0.995609756097561,EfficientNet_B0,EfficientNet-B0,4,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_04/history.csv
3,0.412654842574422,0.9965853658536584,EfficientNet_B0,EfficientNet-B0,4,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_04/history.csv
4,0.4242852020263672,0.9931707317073172,EfficientNet_B0,EfficientNet-B0,4,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_04/history.csv
5,0.4082995981123389,0.9980487804878048,EfficientNet_B0,EfficientNet-B0,4,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_04/history.csv
6,0.4023894593773818,0.997560975609756,EfficientNet_B0,EfficientNet-B0,4,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_04/history.csv
7,0.4034869311495525,0.997560975609756,EfficientNet_B0,EfficientNet-B0,4,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_04/history.csv
8,0.4001403729508563,0.997560975609756,EfficientNet_B0,EfficientNet-B0,4,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_04/history.csv
1,0.6587157749548191,0.9048780487804878,EfficientNet_B0,EfficientNet-B0,5,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_05/history.csv
2,0.42716461739889,0.9931707317073172,EfficientNet_B0,EfficientNet-B0,5,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_05/history.csv
3,0.413609797198598,0.9985365853658535,EfficientNet_B0,EfficientNet-B0,5,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_05/history.csv
