epoch,train_loss_mean,train_accuracy_mean,folds_at_epoch,train_accuracy_mean_percent
1,0.7360731803149712,0.8351219512195123,10,83.51219512195122
2,0.43041184450068126,0.9861463414634146,10,98.61463414634146
3,0.41763379388902244,0.9919512195121951,10,99.1951219512195
4,0.41585384370350253,0.9924390243902439,10,99.2439024390244
5,0.4063431811914211,0.9964878048780488,10,99.64878048780488
6,0.406161245322809,0.9956585365853658,10,99.56585365853658
7,0.4034879175250123,0.9968292682926829,10,99.6829268292683
8,0.40306112341764494,0.9963414634146341,10,99.63414634146342
9,0.4052008433138452,0.9954634146341463,10,99.54634146341463
10,0.4071321526969351,0.9945121951219512,8,99.45121951219512
11,0.39963737749471895,0.9974390243902439,4,99.7439024390244
12,0.40096815174188066,0.9978861788617887,3,99.78861788617887
13,0.3993908447172584,0.997560975609756,2,99.7560975609756
