,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,807,455,146,275
healthy,222,428,561,270
nutrient_deficiency,216,12,825,14
powdery_mildew,80,0,40,723
