,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,170,14,7,0
healthy,9,46,1,0
nutrient_deficiency,13,7,30,0
powdery_mildew,1,0,0,34
