,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,685,470,284,244
healthy,76,739,541,125
nutrient_deficiency,22,164,867,14
powdery_mildew,76,312,311,144
