,bacterial_spot,cercospora_leaf_spot,curl_virus,healthy,nutrient_deficiency,powdery_mildew
bacterial_spot,164,71,26,766,183,70
cercospora_leaf_spot,10,51,0,1447,43,132
curl_virus,26,45,2,1205,141,163
healthy,39,57,8,1280,36,61
nutrient_deficiency,23,14,1,709,266,54
powdery_mildew,47,4,23,663,12,94
