,bacterial_spot,cercospora_leaf_spot,curl_virus,healthy,nutrient_deficiency
bacterial_spot,22,1,2,2,1
cercospora_leaf_spot,2,37,0,0,0
curl_virus,0,0,81,0,0
healthy,0,0,2,88,0
nutrient_deficiency,0,0,0,0,92
