regime,job_tag,holdout,channel,snr_db,method,repeats,BER_mean,BER_std,BLER_mean,BLER_std,SER_no_denoise_mean,SER_no_denoise_std,SER_after_mean,SER_after_std,SNR_before_dB_mean,SNR_before_dB_std,SNR_after_dB_mean,SNR_after_dB_std,SNR_gain_dB_mean,SNR_gain_dB_std,us_per_frame_mean,us_per_frame_std,BER_mean_std
matched,MATCHED_AWGN,,AWGN,0.0,CNN_RNND,5,0.16056722005208332,0.0006001186879308168,0.499267578125,0.005436660838261442,0.158453369140625,0.0005206331225869891,0.15849711100260416,0.0004730142572163262,0.0025090236266112433,0.007339021756389102,3.277743583168232,0.030122862394896293,3.2752345595416203,0.02849545119843682,0.806712402360669,0.020993481349018663,1.606e-01 ± 6.00e-04
matched,MATCHED_AWGN,,AWGN,0.0,ML,5,0.12483927408854165,0.0011434797115271907,0.2968587239583333,0.0024518278003386753,,0.0,,0.0,,0.0,,0.0,,0.0,0.5884844730038215,0.12772503845775043,1.248e-01 ± 1.14e-03
matched,MATCHED_AWGN,,AWGN,0.0,PNND,5,0.139886474609375,0.004440366461306766,0.4260579427083334,0.017756333464407265,0.158453369140625,0.0005206331225869891,,0.0,0.0025090236266112433,0.007339021756389102,,0.0,,0.0,0.6207158018393482,0.024269888470995735,1.399e-01 ± 4.44e-03
matched,MATCHED_AWGN,,AWGN,0.0,Proposed_CA_CNN_RNND,5,0.15006510416666669,0.0034858086795924496,0.47607421875,0.013248113045994351,0.158453369140625,0.0005206331225869891,0.15858357747395832,0.0004570906601390783,0.0025090236266112433,0.007339021756389102,3.4552455502827124,0.009184850526084068,3.452736526656101,0.011972052333993186,0.8235359359787253,0.046292293146467586,1.501e-01 ± 3.49e-03
matched,MATCHED_AWGN,,AWGN,0.0,RNND_Zhu,5,0.1377685546875,0.002034090635658244,0.38935546875,0.005353989000749544,0.158453369140625,0.0005206331225869891,0.09246724446614582,0.001035260079332893,0.0025090236266112433,0.007339021756389102,5.325294545756194,0.0727744184851918,5.322785522129584,0.07915766693433691,0.8149254218399923,0.030826436628680235,1.378e-01 ± 2.03e-03
matched,MATCHED_AWGN,,AWGN,0.0,SC,5,0.12519938151041665,0.0017239295576753854,0.29902343749999993,0.002529733588223167,,0.0,,0.0,,0.0,,0.0,,0.0,1.7543641263273457,0.030902467272407894,1.252e-01 ± 1.72e-03
matched,MATCHED_AWGN,,AWGN,1.0,CNN_RNND,5,0.1109375,0.0019474822229684798,0.3736490885416667,0.006353548363792372,0.13069254557291665,0.0009640877052844136,0.13075358072916665,0.0008181566717221236,1.0035628242523142,0.01332476353169603,4.1600776024365,0.01966871584697238,3.1565147781841874,0.026474285736251883,0.7688195807986631,0.03199520180196066,1.109e-01 ± 1.95e-03
matched,MATCHED_AWGN,,AWGN,1.0,ML,5,0.07813517252604166,0.0019553357434240605,0.187255859375,0.005158503903561361,,0.0,,0.0,,0.0,,0.0,,0.0,0.5718721846884971,0.07064200202246523,7.814e-02 ± 1.96e-03
matched,MATCHED_AWGN,,AWGN,1.0,PNND,5,0.09390462239583333,0.00392450860283943,0.3070475260416667,0.017348974012025942,0.13069254557291665,0.0009640877052844136,,0.0,1.0035628242523142,0.01332476353169603,,0.0,,0.0,0.5728447244261284,0.0436709822435275,9.390e-02 ± 3.92e-03
matched,MATCHED_AWGN,,AWGN,1.0,Proposed_CA_CNN_RNND,5,0.103289794921875,0.0032054790127557633,0.351025390625,0.013490300693363978,0.13069254557291665,0.0009640877052844136,0.13069661458333331,0.0009257138429362614,1.0035628242523142,0.01332476353169603,4.231159196132511,0.023890210082456436,3.227596371880197,0.01893833375018241,0.7776049282407864,0.02265210642331994,1.033e-01 ± 3.21e-03
matched,MATCHED_AWGN,,AWGN,1.0,RNND_Zhu,5,0.09064127604166666,0.0018737837149049895,0.27027994791666665,0.005371525294374488,0.13069254557291665,0.0009640877052844136,0.063787841796875,0.0010983172304871655,1.0035628242523142,0.01332476353169603,6.783106828932108,0.12378870568888126,5.779544004679794,0.11462413211077861,0.7285030941754183,0.031293861081696316,9.064e-02 ± 1.87e-03
matched,MATCHED_AWGN,,AWGN,1.0,SC,5,0.07823486328125,0.001867419234242485,0.188671875,0.0042402134332579534,,0.0,,0.0,,0.0,,0.0,,0.0,1.6884184882807556,0.07294329862547352,7.823e-02 ± 1.87e-03
matched,MATCHED_AWGN,,AWGN,2.0,CNN_RNND,5,0.07041219075520833,0.002920218459383445,0.250830078125,0.010317874368573387,0.10477803548177085,0.00042090785661873974,0.1048004150390625,0.0003987708058537987,1.9851279162865247,0.011709327154095523,5.128815221459307,0.02096802168533554,3.1436873051727825,0.019548375187124305,0.7789809709872013,0.01743617878035895,7.041e-02 ± 2.92e-03
matched,MATCHED_AWGN,,AWGN,2.0,ML,5,0.04335734049479167,0.0011324310756773215,0.10374348958333335,0.001961077289571823,,0.0,,0.0,,0.0,,0.0,,0.0,0.5521373698987493,0.04646922275868509,4.336e-02 ± 1.13e-03
matched,MATCHED_AWGN,,AWGN,2.0,PNND,5,0.05621134440104166,0.00214904574251744,0.19388020833333333,0.012661698663779995,0.10477803548177085,0.00042090785661873974,,0.0,1.9851279162865247,0.011709327154095523,,0.0,,0.0,0.5686971197368014,0.016919809256436567,5.621e-02 ± 2.15e-03
matched,MATCHED_AWGN,,AWGN,2.0,Proposed_CA_CNN_RNND,5,0.06520182291666668,0.0018261965128369322,0.23377278645833335,0.008360920383929573,0.10477803548177085,0.00042090785661873974,0.10477498372395833,0.00040582833353438084,1.9851279162865247,0.011709327154095523,5.154271633562199,0.014163981433399721,3.1691437172756745,0.011766383619013445,0.7741835929664376,0.0352026862038745,6.520e-02 ± 1.83e-03
matched,MATCHED_AWGN,,AWGN,2.0,RNND_Zhu,5,0.05265096028645834,0.001270108214120864,0.16559244791666666,0.003111343212401082,0.10477803548177085,0.00042090785661873974,0.04138387044270833,0.0005299314930625837,1.9851279162865247,0.011709327154095523,8.433303055525554,0.10373838749089609,6.448175139239031,0.09977948170541479,0.7568830900102814,0.04755395843069966,5.265e-02 ± 1.27e-03
matched,MATCHED_AWGN,,AWGN,2.0,SC,5,0.043865966796875,0.0013443022992662337,0.10519205729166665,0.0021443337444311157,,0.0,,0.0,,0.0,,0.0,,0.0,1.6848067370271262,0.06941562733985267,4.387e-02 ± 1.34e-03
matched,MATCHED_AWGN,,AWGN,3.0,CNN_RNND,5,0.0374267578125,0.0008051218590931351,0.14638671875,0.0067779015059026065,0.07907511393229168,0.0006312029866955247,0.07921549479166667,0.0006117338845578648,2.9929487692319094,0.008459881741180252,6.277113985306928,0.02860008799875994,3.2841652160750194,0.02151416431688271,0.7646957840279356,0.028670062432015937,3.743e-02 ± 8.05e-04
matched,MATCHED_AWGN,,AWGN,3.0,ML,5,0.019258626302083335,0.0009272747128006013,0.047347005208333334,0.001842682265260281,,0.0,,0.0,,0.0,,0.0,,0.0,0.5448099936226452,0.06228010886621529,1.926e-02 ± 9.27e-04
matched,MATCHED_AWGN,,AWGN,3.0,PNND,5,0.028267415364583336,0.0023009750221286932,0.10694986979166665,0.008738885511411271,0.07907511393229168,0.0006312029866955247,,0.0,2.9929487692319094,0.008459881741180252,,0.0,,0.0,0.5515592761184963,0.02384179651163014,2.827e-02 ± 2.30e-03
matched,MATCHED_AWGN,,AWGN,3.0,Proposed_CA_CNN_RNND,5,0.03602294921875,0.0018212145851777537,0.13953450520833333,0.007704862208282988,0.07907511393229168,0.0006312029866955247,0.079150390625,0.0005545029855664892,2.9929487692319094,0.008459881741180252,6.312955610543023,0.02573335696815988,3.320006841311114,0.017734459310472194,0.7688313644393929,0.03189897704721449,3.602e-02 ± 1.82e-03
matched,MATCHED_AWGN,,AWGN,3.0,RNND_Zhu,5,0.025921630859375,0.0012724484241124368,0.08816731770833333,0.0029948580084929927,0.07907511393229168,0.0006312029866955247,0.024765014648437497,0.0005633136756982798,2.9929487692319094,0.008459881741180252,10.304941938463909,0.14851323585715703,7.311993169231998,0.14233827980193084,0.7280879060544976,0.033042903147832675,2.592e-02 ± 1.27e-03
matched,MATCHED_AWGN,,AWGN,3.0,SC,5,0.019303385416666666,0.0009618982699970215,0.04747721354166667,0.001723070974639549,,0.0,,0.0,,0.0,,0.0,,0.0,1.6997974133422153,0.06453596735290058,1.930e-02 ± 9.62e-04
matched,MATCHED_AWGN,,AWGN,4.0,CNN_RNND,5,0.016705322265625,0.0007891874287897637,0.06987304687500001,0.005589996973202571,0.056587727864583326,0.00041901670774830904,0.056756591796875,0.00039534695026627233,3.9909628429982646,0.013834149423890165,7.579211403514874,0.0409583499849313,3.588248560516609,0.047160479222593844,0.7455422822507292,0.02135403137266686,1.671e-02 ± 7.89e-04
matched,MATCHED_AWGN,,AWGN,4.0,ML,5,0.00684814453125,0.0006580531537120517,0.016666666666666666,0.00178053498371134,,0.0,,0.0,,0.0,,0.0,,0.0,0.5810262033871065,0.06543161870620508,6.848e-03 ± 6.58e-04
