method,CNN_denoiser,Channel_Aware,mean_BER,mean_log10_BER,mean_SER_after,mean_SNR_gain_dB
RNND_Zhu,False,False,0.09770670084562756,-1.302981992131216,0.07259857035985069,7.287106596145334
CNN_RNND,True,False,0.10211039109750504,-1.2289482983227507,0.10581072681643333,5.29267727480695
Proposed_CA_CNN_RNND,True,True,0.07950919453310498,-1.334605095260599,0.10595003583530352,5.735958417635217
