regime,job_tag,method,parameters,selected_epoch_mean,training_seconds_mean,training_seconds_std,inference_us_per_frame_mean,inference_us_per_frame_std
matched,MATCHED_AWGN,CNN_RNND,27033.0,7480.0,64.09008921601344,1.3357494026447125,0.7641504895427683,0.031109797975100318
matched,MATCHED_AWGN,ML,,,,,0.5584321445735693,0.061178284193464105
matched,MATCHED_AWGN,PNND,24904.0,7280.0,44.673363645630886,1.9328392999689383,0.5693224872755143,0.03303898396161883
matched,MATCHED_AWGN,Proposed_CA_CNN_RNND,27417.0,7840.0,64.41990421796217,1.6338915169324706,0.7666279169249923,0.03763576231678805
matched,MATCHED_AWGN,RNND_Zhu,25816.0,7320.0,75.00990664123091,2.1082898435942057,0.7311673547796136,0.04529488317055891
matched,MATCHED_AWGN,SC,,,,,1.7219788000028788,0.07185515200463805
matched,MATCHED_Impulsive,CNN_RNND,27033.0,7920.0,66.96874461378903,2.6033384064659773,1.5672163475718057,0.04947180884680991
matched,MATCHED_Impulsive,ML,,,,,98.3218079857314,5.148703682510605
matched,MATCHED_Impulsive,PNND,24904.0,7720.0,47.56479158699513,2.0017797763487435,1.39108699291531,0.0587579248508304
matched,MATCHED_Impulsive,Proposed_CA_CNN_RNND,27417.0,7880.0,67.50767021640203,2.2941078556646737,1.5725125443566412,0.04256962824444855
matched,MATCHED_Impulsive,RNND_Zhu,25816.0,7760.0,77.6337795662228,2.0530993415302414,1.556009535619296,0.05854256279438345
matched,MATCHED_Impulsive,SC,,,,,2.487447717669511,0.10290645171125536
matched,MATCHED_Rayleigh,CNN_RNND,27033.0,7880.0,65.1914288359927,1.8607469163326906,1.128438847549281,0.0490630931273806
matched,MATCHED_Rayleigh,ML,,,,,0.9645667740680134,0.06026979255243127
matched,MATCHED_Rayleigh,PNND,24904.0,7720.0,45.281358039402406,1.1467618325551956,0.907561877028229,0.030385655297120017
matched,MATCHED_Rayleigh,Proposed_CA_CNN_RNND,27417.0,7840.0,66.02247739636805,1.4894275728323751,1.1107198249741637,0.028560274362900116
matched,MATCHED_Rayleigh,RNND_Zhu,25816.0,7760.0,74.94339702283033,2.434580291661262,1.0848568770427391,0.044215300438586284
matched,MATCHED_Rayleigh,SC,,,,,2.13296301225796,0.10019792493267235
matched,MATCHED_RicianLOS,CNN_RNND,27033.0,7920.0,65.6619632988004,1.3681703277580681,1.099947154396356,0.03499774154477612
matched,MATCHED_RicianLOS,ML,,,,,0.9654618779863577,0.05971494586703334
matched,MATCHED_RicianLOS,PNND,24904.0,7800.0,44.8932855659863,1.9064656875406905,0.9008897194462406,0.03745570666857152
matched,MATCHED_RicianLOS,Proposed_CA_CNN_RNND,27417.0,7800.0,66.0842861787416,1.5838493468358978,1.1148797018023515,0.039995956515508815
matched,MATCHED_RicianLOS,RNND_Zhu,25816.0,7640.0,75.85586884403601,2.0026678019751376,1.0838255877369343,0.045265548561142545
matched,MATCHED_RicianLOS,SC,,,,,2.0696598809054176,0.07681481629206253
mixed,MIXED,CNN_RNND,27033.0,7800.0,66.44062323279213,1.6957881102843102,1.1220453643930968,0.27843166021995946
mixed,MIXED,ML,,,,,25.202567195589832,42.42501870506476
mixed,MIXED,PNND,24904.0,7840.0,46.37852933197282,1.4746822802998558,0.9467274868161546,0.2911869503193751
mixed,MIXED,Proposed_CA_CNN_RNND,27417.0,7840.0,67.22897737161256,1.865339803769892,1.138039235196441,0.2876801599175488
mixed,MIXED,RNND_Zhu,25816.0,7600.0,76.70229285119566,1.0328453436940472,1.1038048141678107,0.2769955260876576
mixed,MIXED,SC,,,,,2.1030123527089417,0.28632886151315756
unseen,UNSEEN_Impulsive,CNN_RNND,27033.0,7840.0,64.71419889421668,2.3073257817045945,1.5965153302488488,0.061231717193703426
unseen,UNSEEN_Impulsive,ML,,,,,98.3218079857314,5.148703682510605
unseen,UNSEEN_Impulsive,PNND,24904.0,7520.0,45.88321883638855,1.8900505595660855,1.4035248455002147,0.05876892078489239
unseen,UNSEEN_Impulsive,Proposed_CA_CNN_RNND,27417.0,7840.0,65.76235782199073,1.4147616421353038,1.5761390050291388,0.06274556912715501
unseen,UNSEEN_Impulsive,RNND_Zhu,25816.0,7560.0,75.78656566080171,1.4413865779550916,1.5642399155524345,0.07524117456755229
unseen,UNSEEN_Impulsive,SC,,,,,2.487447717669511,0.10290645171125536
