regime,job_tag,channel,snr_db,method,BER_mean_std
matched,MATCHED_Impulsive,Impulsive,3.0,CNN_RNND,8.972e-02 ± 1.67e-03
matched,MATCHED_Impulsive,Impulsive,3.0,ML,6.818e-02 ± 8.09e-04
matched,MATCHED_Impulsive,Impulsive,3.0,PNND,1.305e-01 ± 1.20e-02
matched,MATCHED_Impulsive,Impulsive,3.0,Proposed_CA_CNN_RNND,8.774e-02 ± 2.53e-03
matched,MATCHED_Impulsive,Impulsive,3.0,RNND_Zhu,8.990e-02 ± 4.37e-04
matched,MATCHED_Impulsive,Impulsive,3.0,SC,6.805e-02 ± 4.70e-04
matched,MATCHED_Impulsive,Impulsive,4.0,CNN_RNND,6.055e-02 ± 1.97e-03
matched,MATCHED_Impulsive,Impulsive,4.0,ML,4.405e-02 ± 1.41e-03
matched,MATCHED_Impulsive,Impulsive,4.0,PNND,1.027e-01 ± 1.26e-02
matched,MATCHED_Impulsive,Impulsive,4.0,Proposed_CA_CNN_RNND,6.048e-02 ± 2.47e-03
matched,MATCHED_Impulsive,Impulsive,4.0,RNND_Zhu,6.359e-02 ± 1.23e-03
matched,MATCHED_Impulsive,Impulsive,4.0,SC,4.401e-02 ± 1.67e-03
matched,MATCHED_Impulsive,Impulsive,5.0,CNN_RNND,4.176e-02 ± 5.05e-04
matched,MATCHED_Impulsive,Impulsive,5.0,ML,2.744e-02 ± 8.70e-04
matched,MATCHED_Impulsive,Impulsive,5.0,PNND,8.059e-02 ± 1.19e-02
matched,MATCHED_Impulsive,Impulsive,5.0,Proposed_CA_CNN_RNND,4.099e-02 ± 1.81e-03
matched,MATCHED_Impulsive,Impulsive,5.0,RNND_Zhu,4.396e-02 ± 1.22e-03
matched,MATCHED_Impulsive,Impulsive,5.0,SC,2.747e-02 ± 1.05e-03
matched,MATCHED_Impulsive,Impulsive,6.0,CNN_RNND,2.940e-02 ± 1.44e-03
matched,MATCHED_Impulsive,Impulsive,6.0,ML,1.798e-02 ± 5.86e-04
matched,MATCHED_Impulsive,Impulsive,6.0,PNND,6.447e-02 ± 1.30e-02
matched,MATCHED_Impulsive,Impulsive,6.0,Proposed_CA_CNN_RNND,2.846e-02 ± 2.43e-03
matched,MATCHED_Impulsive,Impulsive,6.0,RNND_Zhu,3.134e-02 ± 5.59e-04
matched,MATCHED_Impulsive,Impulsive,6.0,SC,1.808e-02 ± 6.18e-04
matched,MATCHED_Impulsive,Impulsive,7.0,CNN_RNND,2.166e-02 ± 2.52e-04
matched,MATCHED_Impulsive,Impulsive,7.0,ML,1.188e-02 ± 7.32e-04
matched,MATCHED_Impulsive,Impulsive,7.0,PNND,5.325e-02 ± 1.13e-02
matched,MATCHED_Impulsive,Impulsive,7.0,Proposed_CA_CNN_RNND,2.104e-02 ± 1.64e-03
matched,MATCHED_Impulsive,Impulsive,7.0,RNND_Zhu,2.231e-02 ± 6.74e-04
matched,MATCHED_Impulsive,Impulsive,7.0,SC,1.191e-02 ± 6.94e-04
matched,MATCHED_Rayleigh,Rayleigh,0.0,CNN_RNND,2.855e-01 ± 1.73e-03
matched,MATCHED_Rayleigh,Rayleigh,0.0,ML,1.988e-01 ± 2.19e-03
matched,MATCHED_Rayleigh,Rayleigh,0.0,PNND,3.093e-01 ± 6.88e-03
matched,MATCHED_Rayleigh,Rayleigh,0.0,Proposed_CA_CNN_RNND,2.209e-01 ± 3.74e-03
matched,MATCHED_Rayleigh,Rayleigh,0.0,RNND_Zhu,2.873e-01 ± 2.51e-03
matched,MATCHED_Rayleigh,Rayleigh,0.0,SC,1.999e-01 ± 1.88e-03
matched,MATCHED_Rayleigh,Rayleigh,1.0,CNN_RNND,2.496e-01 ± 4.24e-03
matched,MATCHED_Rayleigh,Rayleigh,1.0,ML,1.541e-01 ± 2.55e-03
matched,MATCHED_Rayleigh,Rayleigh,1.0,PNND,2.784e-01 ± 8.09e-03
matched,MATCHED_Rayleigh,Rayleigh,1.0,Proposed_CA_CNN_RNND,1.793e-01 ± 2.91e-03
matched,MATCHED_Rayleigh,Rayleigh,1.0,RNND_Zhu,2.489e-01 ± 1.99e-03
matched,MATCHED_Rayleigh,Rayleigh,1.0,SC,1.547e-01 ± 3.01e-03
matched,MATCHED_Rayleigh,Rayleigh,2.0,CNN_RNND,2.120e-01 ± 3.15e-03
matched,MATCHED_Rayleigh,Rayleigh,2.0,ML,1.129e-01 ± 1.52e-03
matched,MATCHED_Rayleigh,Rayleigh,2.0,PNND,2.453e-01 ± 1.32e-02
matched,MATCHED_Rayleigh,Rayleigh,2.0,Proposed_CA_CNN_RNND,1.391e-01 ± 1.02e-03
matched,MATCHED_Rayleigh,Rayleigh,2.0,RNND_Zhu,2.107e-01 ± 2.28e-03
matched,MATCHED_Rayleigh,Rayleigh,2.0,SC,1.136e-01 ± 1.39e-03
matched,MATCHED_Rayleigh,Rayleigh,3.0,CNN_RNND,1.755e-01 ± 4.41e-03
matched,MATCHED_Rayleigh,Rayleigh,3.0,ML,7.716e-02 ± 1.50e-03
matched,MATCHED_Rayleigh,Rayleigh,3.0,PNND,2.143e-01 ± 1.53e-02
matched,MATCHED_Rayleigh,Rayleigh,3.0,Proposed_CA_CNN_RNND,1.049e-01 ± 2.15e-03
matched,MATCHED_Rayleigh,Rayleigh,3.0,RNND_Zhu,1.726e-01 ± 2.97e-03
matched,MATCHED_Rayleigh,Rayleigh,3.0,SC,7.740e-02 ± 1.47e-03
matched,MATCHED_Rayleigh,Rayleigh,4.0,CNN_RNND,1.407e-01 ± 4.79e-03
matched,MATCHED_Rayleigh,Rayleigh,4.0,ML,5.000e-02 ± 1.01e-03
matched,MATCHED_Rayleigh,Rayleigh,4.0,PNND,1.813e-01 ± 1.67e-02
matched,MATCHED_Rayleigh,Rayleigh,4.0,Proposed_CA_CNN_RNND,7.512e-02 ± 1.25e-03
matched,MATCHED_Rayleigh,Rayleigh,4.0,RNND_Zhu,1.356e-01 ± 1.76e-03
matched,MATCHED_Rayleigh,Rayleigh,4.0,SC,5.039e-02 ± 1.18e-03
matched,MATCHED_Rayleigh,Rayleigh,5.0,CNN_RNND,1.119e-01 ± 5.18e-03
matched,MATCHED_Rayleigh,Rayleigh,5.0,ML,3.089e-02 ± 1.31e-03
matched,MATCHED_Rayleigh,Rayleigh,5.0,PNND,1.543e-01 ± 1.95e-02
matched,MATCHED_Rayleigh,Rayleigh,5.0,Proposed_CA_CNN_RNND,5.255e-02 ± 1.87e-03
matched,MATCHED_Rayleigh,Rayleigh,5.0,RNND_Zhu,1.059e-01 ± 2.06e-03
matched,MATCHED_Rayleigh,Rayleigh,5.0,SC,3.116e-02 ± 1.36e-03
matched,MATCHED_Rayleigh,Rayleigh,6.0,CNN_RNND,8.525e-02 ± 5.97e-03
matched,MATCHED_Rayleigh,Rayleigh,6.0,ML,1.804e-02 ± 1.02e-03
matched,MATCHED_Rayleigh,Rayleigh,6.0,PNND,1.283e-01 ± 2.10e-02
matched,MATCHED_Rayleigh,Rayleigh,6.0,Proposed_CA_CNN_RNND,3.624e-02 ± 1.98e-03
matched,MATCHED_Rayleigh,Rayleigh,6.0,RNND_Zhu,7.909e-02 ± 1.62e-03
matched,MATCHED_Rayleigh,Rayleigh,6.0,SC,1.799e-02 ± 8.79e-04
matched,MATCHED_Rayleigh,Rayleigh,7.0,CNN_RNND,6.393e-02 ± 4.10e-03
matched,MATCHED_Rayleigh,Rayleigh,7.0,ML,9.749e-03 ± 2.07e-04
matched,MATCHED_Rayleigh,Rayleigh,7.0,PNND,1.060e-01 ± 2.26e-02
matched,MATCHED_Rayleigh,Rayleigh,7.0,Proposed_CA_CNN_RNND,2.366e-02 ± 1.06e-03
matched,MATCHED_Rayleigh,Rayleigh,7.0,RNND_Zhu,5.854e-02 ± 1.61e-03
matched,MATCHED_Rayleigh,Rayleigh,7.0,SC,9.796e-03 ± 3.02e-04
matched,MATCHED_RicianLOS,RicianLOS,0.0,CNN_RNND,2.204e-01 ± 1.98e-03
matched,MATCHED_RicianLOS,RicianLOS,0.0,ML,1.554e-01 ± 3.14e-03
matched,MATCHED_RicianLOS,RicianLOS,0.0,PNND,2.182e-01 ± 1.44e-03
matched,MATCHED_RicianLOS,RicianLOS,0.0,Proposed_CA_CNN_RNND,1.780e-01 ± 1.02e-03
matched,MATCHED_RicianLOS,RicianLOS,0.0,RNND_Zhu,2.098e-01 ± 1.03e-03
matched,MATCHED_RicianLOS,RicianLOS,0.0,SC,1.563e-01 ± 3.19e-03
matched,MATCHED_RicianLOS,RicianLOS,1.0,CNN_RNND,1.759e-01 ± 2.12e-03
matched,MATCHED_RicianLOS,RicianLOS,1.0,ML,1.091e-01 ± 1.93e-03
matched,MATCHED_RicianLOS,RicianLOS,1.0,PNND,1.752e-01 ± 1.56e-03
matched,MATCHED_RicianLOS,RicianLOS,1.0,Proposed_CA_CNN_RNND,1.339e-01 ± 1.83e-03
matched,MATCHED_RicianLOS,RicianLOS,1.0,RNND_Zhu,1.663e-01 ± 1.95e-03
matched,MATCHED_RicianLOS,RicianLOS,1.0,SC,1.099e-01 ± 1.68e-03
matched,MATCHED_RicianLOS,RicianLOS,2.0,CNN_RNND,1.298e-01 ± 3.36e-03
matched,MATCHED_RicianLOS,RicianLOS,2.0,ML,6.781e-02 ± 8.08e-04
matched,MATCHED_RicianLOS,RicianLOS,2.0,PNND,1.299e-01 ± 1.44e-03
matched,MATCHED_RicianLOS,RicianLOS,2.0,Proposed_CA_CNN_RNND,9.163e-02 ± 7.81e-04
matched,MATCHED_RicianLOS,RicianLOS,2.0,RNND_Zhu,1.197e-01 ± 2.04e-03
matched,MATCHED_RicianLOS,RicianLOS,2.0,SC,6.873e-02 ± 1.14e-03
matched,MATCHED_RicianLOS,RicianLOS,3.0,CNN_RNND,9.218e-02 ± 1.67e-03
matched,MATCHED_RicianLOS,RicianLOS,3.0,ML,3.925e-02 ± 9.72e-04
matched,MATCHED_RicianLOS,RicianLOS,3.0,PNND,9.382e-02 ± 1.28e-03
matched,MATCHED_RicianLOS,RicianLOS,3.0,Proposed_CA_CNN_RNND,6.070e-02 ± 8.80e-04
matched,MATCHED_RicianLOS,RicianLOS,3.0,RNND_Zhu,8.480e-02 ± 7.92e-04
matched,MATCHED_RicianLOS,RicianLOS,3.0,SC,3.936e-02 ± 1.32e-03
matched,MATCHED_RicianLOS,RicianLOS,4.0,CNN_RNND,6.163e-02 ± 3.25e-03
matched,MATCHED_RicianLOS,RicianLOS,4.0,ML,1.974e-02 ± 7.76e-04
matched,MATCHED_RicianLOS,RicianLOS,4.0,PNND,6.269e-02 ± 2.21e-03
matched,MATCHED_RicianLOS,RicianLOS,4.0,Proposed_CA_CNN_RNND,3.680e-02 ± 1.47e-03
matched,MATCHED_RicianLOS,RicianLOS,4.0,RNND_Zhu,5.516e-02 ± 2.02e-03
matched,MATCHED_RicianLOS,RicianLOS,4.0,SC,1.988e-02 ± 6.71e-04
matched,MATCHED_RicianLOS,RicianLOS,5.0,CNN_RNND,3.720e-02 ± 1.44e-03
matched,MATCHED_RicianLOS,RicianLOS,5.0,ML,8.889e-03 ± 5.65e-04
matched,MATCHED_RicianLOS,RicianLOS,5.0,PNND,4.006e-02 ± 9.47e-04
matched,MATCHED_RicianLOS,RicianLOS,5.0,Proposed_CA_CNN_RNND,2.072e-02 ± 9.07e-04
matched,MATCHED_RicianLOS,RicianLOS,5.0,RNND_Zhu,3.317e-02 ± 1.32e-03
matched,MATCHED_RicianLOS,RicianLOS,5.0,SC,8.927e-03 ± 5.67e-04
matched,MATCHED_RicianLOS,RicianLOS,6.0,CNN_RNND,2.110e-02 ± 1.37e-03
matched,MATCHED_RicianLOS,RicianLOS,6.0,ML,3.384e-03 ± 2.50e-04
matched,MATCHED_RicianLOS,RicianLOS,6.0,PNND,2.376e-02 ± 1.26e-03
matched,MATCHED_RicianLOS,RicianLOS,6.0,Proposed_CA_CNN_RNND,1.054e-02 ± 5.08e-04
matched,MATCHED_RicianLOS,RicianLOS,6.0,RNND_Zhu,1.911e-02 ± 5.99e-04
matched,MATCHED_RicianLOS,RicianLOS,6.0,SC,3.393e-03 ± 2.85e-04
matched,MATCHED_RicianLOS,RicianLOS,7.0,CNN_RNND,1.228e-02 ± 1.55e-03
matched,MATCHED_RicianLOS,RicianLOS,7.0,ML,1.208e-03 ± 1.38e-04
matched,MATCHED_RicianLOS,RicianLOS,7.0,PNND,1.422e-02 ± 9.49e-04
matched,MATCHED_RicianLOS,RicianLOS,7.0,Proposed_CA_CNN_RNND,5.383e-03 ± 5.54e-04
matched,MATCHED_RicianLOS,RicianLOS,7.0,RNND_Zhu,1.120e-02 ± 4.52e-04
matched,MATCHED_RicianLOS,RicianLOS,7.0,SC,1.212e-03 ± 1.35e-04
mixed,MIXED,AWGN,0.0,CNN_RNND,1.683e-01 ± 4.76e-03
mixed,MIXED,AWGN,0.0,ML,1.248e-01 ± 1.14e-03
mixed,MIXED,AWGN,0.0,PNND,1.575e-01 ± 1.46e-03
mixed,MIXED,AWGN,0.0,Proposed_CA_CNN_RNND,1.500e-01 ± 5.05e-03
mixed,MIXED,AWGN,0.0,RNND_Zhu,1.434e-01 ± 2.26e-03
mixed,MIXED,AWGN,0.0,SC,1.252e-01 ± 1.72e-03
mixed,MIXED,AWGN,1.0,CNN_RNND,1.154e-01 ± 4.25e-03
mixed,MIXED,AWGN,1.0,ML,7.814e-02 ± 1.96e-03
mixed,MIXED,AWGN,1.0,PNND,1.089e-01 ± 3.10e-03
mixed,MIXED,AWGN,1.0,Proposed_CA_CNN_RNND,1.037e-01 ± 4.13e-03
mixed,MIXED,AWGN,1.0,RNND_Zhu,9.283e-02 ± 3.05e-03
mixed,MIXED,AWGN,1.0,SC,7.823e-02 ± 1.87e-03
mixed,MIXED,AWGN,2.0,CNN_RNND,7.308e-02 ± 3.21e-03
mixed,MIXED,AWGN,2.0,ML,4.336e-02 ± 1.13e-03
mixed,MIXED,AWGN,2.0,PNND,6.864e-02 ± 3.42e-03
mixed,MIXED,AWGN,2.0,Proposed_CA_CNN_RNND,6.618e-02 ± 3.79e-03
mixed,MIXED,AWGN,2.0,RNND_Zhu,5.460e-02 ± 1.78e-03
mixed,MIXED,AWGN,2.0,SC,4.387e-02 ± 1.34e-03
mixed,MIXED,AWGN,3.0,CNN_RNND,3.923e-02 ± 2.46e-03
mixed,MIXED,AWGN,3.0,ML,1.926e-02 ± 9.27e-04
mixed,MIXED,AWGN,3.0,PNND,3.739e-02 ± 2.50e-03
mixed,MIXED,AWGN,3.0,Proposed_CA_CNN_RNND,3.677e-02 ± 3.71e-03
mixed,MIXED,AWGN,3.0,RNND_Zhu,2.622e-02 ± 1.23e-03
mixed,MIXED,AWGN,3.0,SC,1.930e-02 ± 9.62e-04
mixed,MIXED,AWGN,4.0,CNN_RNND,1.772e-02 ± 9.19e-04
mixed,MIXED,AWGN,4.0,ML,6.848e-03 ± 6.58e-04
mixed,MIXED,AWGN,4.0,PNND,1.698e-02 ± 2.73e-03
mixed,MIXED,AWGN,4.0,Proposed_CA_CNN_RNND,1.791e-02 ± 1.83e-03
mixed,MIXED,AWGN,4.0,RNND_Zhu,1.048e-02 ± 3.47e-04
mixed,MIXED,AWGN,4.0,SC,6.954e-03 ± 6.54e-04
mixed,MIXED,AWGN,5.0,CNN_RNND,6.655e-03 ± 4.97e-04
mixed,MIXED,AWGN,5.0,ML,1.861e-03 ± 1.64e-04
mixed,MIXED,AWGN,5.0,PNND,6.696e-03 ± 1.82e-03
mixed,MIXED,AWGN,5.0,Proposed_CA_CNN_RNND,7.745e-03 ± 1.39e-03
mixed,MIXED,AWGN,5.0,RNND_Zhu,3.176e-03 ± 3.82e-04
mixed,MIXED,AWGN,5.0,SC,1.894e-03 ± 2.11e-04
mixed,MIXED,AWGN,6.0,CNN_RNND,2.071e-03 ± 2.50e-04
mixed,MIXED,AWGN,6.0,ML,3.600e-04 ± 2.37e-05
mixed,MIXED,AWGN,6.0,PNND,2.199e-03 ± 8.35e-04
mixed,MIXED,AWGN,6.0,Proposed_CA_CNN_RNND,2.921e-03 ± 8.12e-04
mixed,MIXED,AWGN,6.0,RNND_Zhu,7.929e-04 ± 9.59e-05
mixed,MIXED,AWGN,6.0,SC,3.600e-04 ± 2.68e-05
mixed,MIXED,AWGN,7.0,CNN_RNND,5.280e-04 ± 1.06e-04
mixed,MIXED,AWGN,7.0,ML,4.075e-05 ± 1.69e-05
mixed,MIXED,AWGN,7.0,PNND,6.358e-04 ± 3.91e-04
mixed,MIXED,AWGN,7.0,Proposed_CA_CNN_RNND,8.575e-04 ± 3.08e-04
mixed,MIXED,AWGN,7.0,RNND_Zhu,1.443e-04 ± 3.54e-05
mixed,MIXED,AWGN,7.0,SC,4.075e-05 ± 1.69e-05
mixed,MIXED,Impulsive,0.0,CNN_RNND,2.207e-01 ± 1.64e-03
mixed,MIXED,Impulsive,0.0,ML,1.928e-01 ± 2.74e-03
mixed,MIXED,Impulsive,0.0,PNND,2.361e-01 ± 3.43e-03
mixed,MIXED,Impulsive,0.0,Proposed_CA_CNN_RNND,2.102e-01 ± 1.43e-03
mixed,MIXED,Impulsive,0.0,RNND_Zhu,2.191e-01 ± 2.14e-03
mixed,MIXED,Impulsive,0.0,SC,1.927e-01 ± 2.45e-03
mixed,MIXED,Impulsive,1.0,CNN_RNND,1.741e-01 ± 2.09e-03
mixed,MIXED,Impulsive,1.0,ML,1.449e-01 ± 1.85e-03
mixed,MIXED,Impulsive,1.0,PNND,1.927e-01 ± 4.28e-03
mixed,MIXED,Impulsive,1.0,Proposed_CA_CNN_RNND,1.646e-01 ± 2.23e-03
