regime,job_tag,holdout,channel,snr_db,method,repeats,BER_mean,BER_std,BLER_mean,BLER_std,SER_no_denoise_mean,SER_no_denoise_std,SER_after_mean,SER_after_std,SNR_before_dB_mean,SNR_before_dB_std,SNR_after_dB_mean,SNR_after_dB_std,SNR_gain_dB_mean,SNR_gain_dB_std,us_per_frame_mean,us_per_frame_std,BER_mean_std
unseen,UNSEEN_Impulsive,Impulsive,Impulsive,0.0,CNN_RNND,5,0.22329915364583336,0.001989273816144563,0.6457682291666667,0.00863865381911155,0.1845550537109375,0.0008046670646706301,0.18474527994791667,0.0008934727152298928,-4.7786413306843425,0.06208318130504149,2.5934246496930866,0.04158751573856858,7.37206598037743,0.0925090129657757,1.5966674633697646,0.0774526885266498,2.233e-01 ± 1.99e-03
unseen,UNSEEN_Impulsive,Impulsive,Impulsive,0.0,ML,5,0.19279581705729168,0.002742402464074892,0.4444010416666667,0.004957317322997752,,0.0,,0.0,,0.0,,0.0,,0.0,91.82956954797798,3.847694551904464,1.928e-01 ± 2.74e-03
unseen,UNSEEN_Impulsive,Impulsive,Impulsive,0.0,PNND,5,0.23818359375,0.0036349710935595966,0.6742838541666667,0.010523345194179452,0.1845550537109375,0.0008046670646706301,,0.0,-4.7786413306843425,0.06208318130504149,,0.0,,0.0,1.4064020528318604,0.05710108319969297,2.382e-01 ± 3.63e-03
unseen,UNSEEN_Impulsive,Impulsive,Impulsive,0.0,Proposed_CA_CNN_RNND,5,0.22586873372395835,0.0029197045950280433,0.6298828125,0.011933097156126848,0.1845550537109375,0.0008046670646706301,0.18468831380208334,0.0009240173587811027,-4.7786413306843425,0.06208318130504149,2.443344854815396,0.06672909863483471,7.221986185499739,0.08719171891200357,1.5756475590933405,0.05296260395838752,2.259e-01 ± 2.92e-03
unseen,UNSEEN_Impulsive,Impulsive,Impulsive,0.0,RNND_Zhu,5,0.22049153645833336,0.002885246528333004,0.5828776041666667,0.008935272638760075,0.1845550537109375,0.0008046670646706301,0.150457763671875,0.001591201435528606,-4.7786413306843425,0.06208318130504149,3.408791742877787,0.05315188378956081,8.18743307356213,0.039793815565433925,1.5626109548823781,0.0943298681104412,2.205e-01 ± 2.89e-03
unseen,UNSEEN_Impulsive,Impulsive,Impulsive,0.0,SC,5,0.19269205729166666,0.0024521126700001988,0.446533203125,0.004592036451714173,,0.0,,0.0,,0.0,,0.0,,0.0,2.467219043940834,0.11613862756854393,1.927e-01 ± 2.45e-03
unseen,UNSEEN_Impulsive,Impulsive,Impulsive,1.0,CNN_RNND,5,0.17621053059895833,0.003624328416332486,0.5427734375000001,0.014866273088477098,0.15847066243489583,0.000861882239382716,0.15877888997395834,0.0008164315658327083,-3.778309780284367,0.033587250735098224,3.2280448690600365,0.03493234773693656,7.006354649344404,0.05957426706333547,1.6083203282353984,0.08596584057412222,1.762e-01 ± 3.62e-03
unseen,UNSEEN_Impulsive,Impulsive,Impulsive,1.0,ML,5,0.14485880533854167,0.0018466763450699448,0.3398600260416667,0.004701565021550698,,0.0,,0.0,,0.0,,0.0,,0.0,93.00699822650435,3.524312039802969,1.449e-01 ± 1.85e-03
unseen,UNSEEN_Impulsive,Impulsive,Impulsive,1.0,PNND,5,0.19668782552083333,0.005196560030295366,0.5842936197916666,0.014110187629625532,0.15847066243489583,0.000861882239382716,,0.0,-3.778309780284367,0.033587250735098224,,0.0,,0.0,1.40304189433967,0.059338186656201254,1.967e-01 ± 5.20e-03
unseen,UNSEEN_Impulsive,Impulsive,Impulsive,1.0,Proposed_CA_CNN_RNND,5,0.18032430013020834,0.0032193481600397227,0.5302734375,0.013336301910222755,0.15847066243489583,0.000861882239382716,0.15872701009114581,0.0008437066361386614,-3.778309780284367,0.033587250735098224,3.017721375789457,0.06294201068807331,6.796031156073823,0.06478337419289118,1.5790107094441432,0.057540526483140224,1.803e-01 ± 3.22e-03
unseen,UNSEEN_Impulsive,Impulsive,Impulsive,1.0,RNND_Zhu,5,0.17482096354166665,0.0036870643044923804,0.4853841145833333,0.011762832803372633,0.15847066243489583,0.000861882239382716,0.12062886555989583,0.0018067928341735369,-3.778309780284367,0.033587250735098224,4.278083755393264,0.06571418639358469,8.056393535677632,0.07015031595338855,1.5748407236060302,0.10993242695036884,1.748e-01 ± 3.69e-03
unseen,UNSEEN_Impulsive,Impulsive,Impulsive,1.0,SC,5,0.14579264322916669,0.002308435087136012,0.34275716145833335,0.005697312085274609,,0.0,,0.0,,0.0,,0.0,,0.0,2.4630882800617355,0.09230467075945328,1.458e-01 ± 2.31e-03
unseen,UNSEEN_Impulsive,Impulsive,Impulsive,2.0,CNN_RNND,5,0.13481852213541665,0.0015334285886174053,0.4382161458333333,0.010411006661344304,0.13310750325520834,0.00045522764402846093,0.13317565917968752,0.00045111167528111783,-2.7583494101131776,0.03294757403550947,3.9197432331655846,0.03187142918261175,6.678092643278762,0.024706307335796932,1.6009764976843144,0.07323033089024371,1.348e-01 ± 1.53e-03
unseen,UNSEEN_Impulsive,Impulsive,Impulsive,2.0,ML,5,0.10345865885416668,0.0015103649262083556,0.2465494791666667,0.0028913461513046155,,0.0,,0.0,,0.0,,0.0,,0.0,96.13561788720897,2.867601030548074,1.035e-01 ± 1.51e-03
unseen,UNSEEN_Impulsive,Impulsive,Impulsive,2.0,PNND,5,0.15739949544270831,0.0049048772937945115,0.4880696614583334,0.012184712669961805,0.13310750325520834,0.00045522764402846093,,0.0,-2.7583494101131776,0.03294757403550947,,0.0,,0.0,1.4005624374628192,0.07376707637300893,1.574e-01 ± 4.90e-03
unseen,UNSEEN_Impulsive,Impulsive,Impulsive,2.0,Proposed_CA_CNN_RNND,5,0.139495849609375,0.0013743831859755614,0.4299479166666667,0.006216510482339741,0.13310750325520834,0.00045522764402846093,0.13320821126302085,0.00047466580544283,-2.7583494101131776,0.03294757403550947,3.6848412753742297,0.051438437469805594,6.443190685487407,0.040027218880767594,1.5663544104427276,0.06099601193437008,1.395e-01 ± 1.37e-03
