class_index,class_name,support,precision,recall_sensitivity,specificity,f1,auc_ovr,tp,fp,fn,tn
0,cercospora_leaf_spot,899,0.5582398619499569,0.7196885428253615,0.3245382585751979,0.6287657920310982,0.5458747773104682,647,512,252,246
1,healthy,329,0.24691358024691357,0.060790273556231005,0.954066265060241,0.0975609756097561,0.4694526586589519,20,61,309,1267
2,nutrient_deficiency,267,0.285,0.42696629213483145,0.7942446043165468,0.34182908545727136,0.6978040039878209,114,286,153,1104
3,powdery_mildew,162,0.8823529411764706,0.09259259259259259,0.9986622073578595,0.16759776536312848,0.8410173830463685,15,2,147,1493
