,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,647,39,212,1
healthy,236,20,72,1
nutrient_deficiency,134,19,114,0
powdery_mildew,142,3,2,15
