,bacterial_spot,cercospora_leaf_spot,curl_virus,healthy,nutrient_deficiency
bacterial_spot,26,1,0,0,0
cercospora_leaf_spot,0,29,0,0,0
curl_virus,0,1,96,0,0
healthy,0,0,0,99,0
nutrient_deficiency,0,0,0,0,77
