class_index,class_name,support,precision,recall_sensitivity,specificity,f1,auc_ovr,tp,fp,fn,tn
0,bacterial_spot,147,0.48091603053435117,0.8571428571428571,0.9093333333333333,0.6161369193154034,0.9541541950113379,126,136,21,1364
1,cercospora_leaf_spot,175,0.13471502590673576,0.14857142857142858,0.8865489130434783,0.14130434782608695,0.6902814440993789,26,167,149,1305
2,curl_virus,423,0.38475177304964536,0.5130023640661938,0.7165032679738562,0.4397163120567376,0.68333777561458,217,347,206,877
3,healthy,458,0.9914893617021276,0.5087336244541485,0.9983179142136249,0.6724386724386724,0.8882735115560763,233,2,225,1187
4,nutrient_deficiency,444,0.8524173027989822,0.7545045045045045,0.9517871986699917,0.8004778972520908,0.9109695730643362,335,58,109,1145
