,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,137,16,18,4
healthy,9,59,1,2
nutrient_deficiency,6,5,41,0
powdery_mildew,1,0,0,32
