model,fold,task,best_epoch,best_val_f1,test_loss,n_train_original,n_train_balanced,n_validation,n_test,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,specificity_macro,mcc,auc_ovr_macro
ResNet18,1,five_class,1,1.0,0.43498695312544355,1387,2050,155,172,0.9883720930232558,0.983939393939394,0.9899937460913071,0.983939393939394,0.9867283333950001,0.9969923111714156,0.9853495860086126,1.0
ResNet18,2,five_class,4,1.0,0.40097933175951933,1387,2050,155,172,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ResNet18,3,five_class,1,1.0,0.42868572057679644,1387,2050,155,172,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ResNet18,4,five_class,1,1.0,0.44960669445437057,1387,2050,155,172,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ResNet18,5,five_class,1,1.0,0.4344335161803061,1388,2050,155,171,0.9941520467836257,0.9939393939393939,0.9947368421052631,0.9939393939393939,0.9942564102564102,0.9985074626865671,0.9926397600213233,1.0
ResNet18,6,five_class,2,1.0,0.4180037140497687,1388,2050,155,171,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ResNet18,7,five_class,1,1.0,0.48264351016596746,1388,2050,155,171,0.9941520467836257,0.9949999999999999,0.9939393939393939,0.9949999999999999,0.9943914313534566,0.9985611510791367,0.9926404196218904,1.0
ResNet18,8,five_class,1,1.0,0.4525978871953418,1388,2050,155,171,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ResNet18,9,five_class,1,0.9937116187668877,0.4310615034828409,1388,2050,155,171,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ResNet18,10,five_class,6,0.9937362368485442,0.40958317103441694,1388,2050,155,171,0.9883040935672515,0.9894736842105264,0.9885714285714287,0.9894736842105264,0.9887122416534181,0.9971014492753623,0.9853755956830429,1.0
MobileNetV3_Small,1,five_class,2,1.0,0.4312558881072111,1387,2050,155,172,0.9941860465116279,0.9939393939393939,0.9951219512195122,0.9939393939393939,0.9944539411206078,0.9984848484848484,0.9926804793990197,1.0
MobileNetV3_Small,2,five_class,3,1.0,0.4078516890836317,1387,2050,155,172,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MobileNetV3_Small,3,five_class,2,1.0,0.4280288780844489,1387,2050,155,172,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MobileNetV3_Small,4,five_class,4,1.0,0.4183984343395677,1387,2050,155,172,0.9941860465116279,0.9939393939393939,0.9948717948717949,0.9939393939393939,0.9943256743256743,0.9985074626865671,0.9926810804989482,0.9999171212198277
MobileNetV3_Small,5,five_class,4,1.0,0.41981151752304613,1388,2050,155,171,0.9941520467836257,0.9939393939393939,0.9947368421052631,0.9939393939393939,0.9942564102564102,0.9985074626865671,0.9926397600213233,1.0
MobileNetV3_Small,6,five_class,2,1.0,0.41534163467368185,1388,2050,155,171,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MobileNetV3_Small,7,five_class,2,1.0,0.43112292868352076,1388,2050,155,171,0.9941520467836257,0.99375,0.9948717948717949,0.99375,0.9942279942279942,0.9984962406015038,0.9926359563993855,1.0
