,bacterial_spot,cercospora_leaf_spot,curl_virus,healthy,nutrient_deficiency
bacterial_spot,25,0,0,0,2
cercospora_leaf_spot,3,26,0,0,0
curl_virus,0,0,96,0,1
healthy,0,0,0,99,0
nutrient_deficiency,0,0,0,0,77
