,bacterial_spot,cercospora_leaf_spot,curl_virus,healthy,nutrient_deficiency,powdery_mildew
bacterial_spot,287,2,8,1,0,0
cercospora_leaf_spot,1,498,3,16,8,2
curl_virus,2,4,386,0,5,0
healthy,1,8,1,447,4,0
nutrient_deficiency,1,13,0,6,330,0
powdery_mildew,0,2,0,2,0,210
