class_index,class_name,support,precision,recall_sensitivity,specificity,f1,auc_ovr,tp,fp,fn,tn
0,cercospora_leaf_spot,191,0.8586387434554974,0.8586387434554974,0.8071428571428572,0.8586387434554974,0.9238593866866118,164,27,27,113
1,healthy,68,0.7333333333333333,0.8088235294117647,0.9239543726235742,0.7692307692307693,0.9563296801610378,55,20,13,243
2,nutrient_deficiency,42,0.8275862068965517,0.5714285714285714,0.9826989619377162,0.676056338028169,0.9077689899489207,24,5,18,284
3,powdery_mildew,30,0.8333333333333334,1.0,0.9800664451827242,0.9090909090909091,0.998892580287929,30,6,0,295
