class_index,class_name,support,precision,recall_sensitivity,specificity,f1,auc_ovr,tp,fp,fn,tn
0,cercospora_leaf_spot,1683,0.5767143561914159,0.6945929887106358,0.7469772928339723,0.630188679245283,0.7765481589184471,1169,858,514,2533
1,healthy,1481,0.6203866432337434,0.47670492910195816,0.8797662120790426,0.5391370752195495,0.7816999368379471,706,432,775,3161
2,nutrient_deficiency,1067,0.6430188679245283,0.7985004686035614,0.8819565759920139,0.7123745819397993,0.9216075476164135,852,473,215,3534
3,powdery_mildew,843,0.785958904109589,0.5444839857651246,0.9704561569368944,0.6433076384022425,0.9033523114850481,459,125,384,4106
