,bacterial_spot,cercospora_leaf_spot,curl_virus,healthy,nutrient_deficiency,powdery_mildew
bacterial_spot,226,0,5,0,0,0
cercospora_leaf_spot,0,329,2,2,0,0
curl_virus,0,1,327,0,0,0
healthy,0,1,3,303,0,0
nutrient_deficiency,0,1,3,1,196,0
powdery_mildew,0,0,0,0,0,188
