class_index,class_name,support,precision,recall_sensitivity,specificity,f1,auc_ovr,tp,fp,fn,tn
0,bacterial_spot,26,1.0,0.8846153846153846,1.0,0.9387755102040817,0.9988613360323887,23,0,3,304
1,cercospora_leaf_spot,35,0.9459459459459459,1.0,0.9932203389830508,0.9722222222222222,1.0,35,2,0,293
2,curl_virus,87,1.0,0.9770114942528736,1.0,0.9883720930232558,1.0,85,0,2,243
3,healthy,89,0.967391304347826,1.0,0.9875518672199171,0.9834254143646409,0.9999533777798499,89,3,0,238
4,nutrient_deficiency,93,0.989247311827957,0.989247311827957,0.9957805907172996,0.989247311827957,0.9994555600925549,92,1,1,236
