split,class_name,count
train,bacterial_spot,923
train,cercospora_leaf_spot,1222
train,curl_virus,1131
train,healthy,1077
train,nutrient_deficiency,767
train,powdery_mildew,594
validation,bacterial_spot,98
validation,cercospora_leaf_spot,135
validation,curl_virus,123
validation,healthy,118
validation,nutrient_deficiency,86
validation,powdery_mildew,75
test,bacterial_spot,259
test,cercospora_leaf_spot,326
test,curl_virus,328
test,healthy,286
test,nutrient_deficiency,214
test,powdery_mildew,174
