,bacterial_spot,cercospora_leaf_spot,curl_virus,healthy,nutrient_deficiency,powdery_mildew
bacterial_spot,259,0,0,0,0,0
cercospora_leaf_spot,2,322,1,1,0,0
curl_virus,10,4,307,2,5,0
healthy,4,0,1,279,0,2
nutrient_deficiency,0,3,4,1,206,0
powdery_mildew,0,0,0,0,0,174
