,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,243,141,337,178
healthy,115,56,99,59
nutrient_deficiency,57,52,125,33
powdery_mildew,10,9,71,72
