model,fold,epoch,learning_rate,train_loss,val_loss,train_accuracy,val_accuracy,train_f1_macro,val_f1_macro
EfficientNet_B0,10,1,0.0003,0.6742645590479781,0.42038989143986855,0.8970731707317073,0.9935483870967742,0.8968049766397563,0.9937116187668877
EfficientNet_B0,10,2,0.0002996346075389736,0.43298706223325034,0.4231440240337003,0.9917073170731707,0.9935483870967742,0.9917031187818045,0.9937116187668877
EfficientNet_B0,10,3,0.0002985402103112355,0.42281882547750704,0.4084092536280232,0.9951219512195122,0.9935483870967742,0.9951255132741125,0.9937116187668877
EfficientNet_B0,10,4,0.0002967221401100708,0.4061026384190815,0.3986681538243448,0.9980487804878049,1.0,0.9980487601744296,1.0
EfficientNet_B0,10,5,0.00029418925439074776,0.41266544946810096,0.3982665673378975,0.9965853658536585,1.0,0.9965846766491999,1.0
EfficientNet_B0,10,6,0.0002909538931178862,0.404558452396858,0.3953125426846166,0.9985365853658537,1.0,0.9985359890300327,1.0
EfficientNet_B0,10,7,0.0002870318186463901,0.3987595751227402,0.3932907804366081,0.9995121951219512,1.0,0.9995121943964819,1.0
EfficientNet_B0,10,8,0.000282442138928839,0.4017433223491762,0.39436592671179005,0.9980487804878049,1.0,0.9980475812815911,1.0
EfficientNet_B0,10,9,0.0002772072144234638,0.39895681741760997,0.3988264391499181,0.9995121951219512,0.9935483870967742,0.9995121943964819,0.9937116187668877
EfficientNet_B0,10,10,0.00027135254915624206,0.3999333836974167,0.3952990774185427,0.9990243902439024,1.0,0.9990243902439024,1.0
EfficientNet_B0,10,11,0.0002649066664678466,0.39824762751416465,0.39257697674535935,0.9980487804878049,1.0,0.9980487761296674,1.0
