family,experiment,scenario,dataset,fold,n_splits,model_name,seed,device,pretrained,num_classes,label_order,n_train,n_val,n_test,parameters,trainable_parameters,best_epoch,best_val_monitor,elapsed_seconds,peak_gpu_memory_mb,test_accuracy,test_balanced_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_macro_specificity,test_mcc,test_auc_ovr_macro,test_loss,metrics_path,source_datasets,target_dataset,exact_target_overlap_removed
baselines,within_cv,A_within,A,5.0,5.0,efficientnet_b0,46,cuda,True,5,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency,1186,132,329,4013953,4013953,2,1.0,48.96955975599849,1478.330078125,0.9908814589665653,0.9831233295150821,0.9850967741935485,0.9831233295150821,0.9835997310853457,0.9977971014492754,0.9879540331104902,,0.5955209704962644,/home/eecommu06/Documents/BT/Chili_CrossDataset/results/baselines/efficientnet_b0/within_cv/A_within/seed_46/fold_05/metrics.json,,,
baselines,within_cv,A_within,A,3.0,5.0,efficientnet_b0,44,cuda,True,5,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency,1186,132,329,4013953,4013953,2,1.0,97.16439977499977,1480.5087890625,0.9908814589665653,0.9865359477124184,0.9845296167247387,0.9865359477124184,0.9853658638219851,0.9979380957985171,0.9882794079774934,,0.6018951372666792,/home/eecommu06/Documents/BT/Chili_CrossDataset/results/baselines/efficientnet_b0/within_cv/A_within/seed_44/fold_03/metrics.json,,,
baselines,within_cv,A_within,A,2.0,5.0,efficientnet_b0,43,cuda,True,5,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency,1185,132,330,4013953,4013953,4,0.980952380952381,60.09327382899937,1477.568359375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5575162768363953,/home/eecommu06/Documents/BT/Chili_CrossDataset/results/baselines/efficientnet_b0/within_cv/A_within/seed_43/fold_02/metrics.json,,,
baselines,within_cv,A_within,A,4.0,5.0,efficientnet_b0,45,cuda,True,5,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency,1186,132,329,4013953,4013953,13,1.0,104.34606316600184,1478.330078125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5583079809492285,/home/eecommu06/Documents/BT/Chili_CrossDataset/results/baselines/efficientnet_b0/within_cv/A_within/seed_45/fold_04/metrics.json,,,
baselines,within_cv,A_within,A,1.0,5.0,efficientnet_b0,42,cuda,True,5,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency,1185,132,330,4013953,4013953,4,1.0,159.3250370019996,1479.9892578125,0.990909090909091,0.9785714285714284,0.9880933648046157,0.9785714285714284,0.9825981642019379,0.9977850934188108,0.9882107926091009,,0.5999921167438681,/home/eecommu06/Documents/BT/Chili_CrossDataset/results/baselines/efficientnet_b0/within_cv/A_within/seed_42/fold_01/metrics.json,,,
baselines,pairwise,C->A,,,,mobilenet_v2,42,cuda,True,3,cercospora_leaf_spot|healthy|nutrient_deficiency,1345,150,1077,2227715,2227715,34,0.8241001030929697,123.23542791098589,1290.4814453125,0.6935933147632312,0.628330457719104,0.7466535487309972,0.628330457719104,0.6460214416301557,0.825369549951709,0.5115288934556185,,0.8004432346890954,/home/eecommu06/Documents/BT/Chili_CrossDataset/results/baselines/mobilenet_v2/pairwise/C_to_A/seed_42/metrics.json,C,A,0.0
baselines,pairwise,B->C,,,,mobilenet_v2,42,cuda,True,4,cercospora_leaf_spot|healthy|nutrient_deficiency|powdery_mildew,4566,508,1657,2228996,2228996,4,0.9927991916998431,400.6867511080345,1289.994140625,0.3138201569100785,0.36995546303356686,0.484414739081689,0.36995546303356686,0.3016431576251535,0.7701428824396721,0.12124769921487816,,1.616913194839771,/home/eecommu06/Documents/BT/Chili_CrossDataset/results/baselines/mobilenet_v2/pairwise/B_to_C/seed_42/metrics.json,B,C,0.0
baselines,pairwise,B->A,,,,mobilenet_v2,42,cuda,True,5,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency,6383,710,1647,2230277,2230277,6,0.9889321302563235,670.2963263599668,1289.9560546875,0.7340619307832422,0.648595395608735,0.6636084816431002,0.648595395608735,0.6276070384814482,0.9317548079245773,0.6621331042339296,,0.9855962613454232,/home/eecommu06/Documents/BT/Chili_CrossDataset/results/baselines/mobilenet_v2/pairwise/B_to_A/seed_42/metrics.json,B,A,0.0
baselines,pairwise,A->C,,,,mobilenet_v2,42,cuda,True,3,cercospora_leaf_spot|healthy|nutrient_deficiency,969,108,1495,2227715,2227715,2,1.0,69.03472878201865,1290.08251953125,0.5384615384615384,0.41958437486206673,0.4649926237461779,0.41958437486206673,0.40410845859116934,0.7138601172806428,0.14755701662220364,,0.9760034585252721,/home/eecommu06/Documents/BT/Chili_CrossDataset/results/baselines/mobilenet_v2/pairwise/A_to_C/seed_42/metrics.json,A,C,0.0
baselines,pairwise,C->B,,,,mobilenet_v2,42,cuda,True,4,cercospora_leaf_spot|healthy|nutrient_deficiency|powdery_mildew,1491,166,5074,2228996,2228996,9,0.8250674019607843,93.44606367399683,1291.298828125,0.5173433188805676,0.5577887069415157,0.5423988468536378,0.5577887069415157,0.5062807018418789,0.8417462194750377,0.38672467786478876,,1.4276541621430114,/home/eecommu06/Documents/BT/Chili_CrossDataset/results/baselines/mobilenet_v2/pairwise/C_to_B/seed_42/metrics.json,C,B,0.0
baselines,pairwise,A->B,,,,mobilenet_v2,42,cuda,True,5,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency,1482,165,7093,2230277,2230277,4,1.0,166.5526549979695,1289.4248046875,0.46129987311433807,0.48670178963228283,0.6424615412026233,0.48670178963228283,0.39955197123799274,0.8661159619033567,0.3772565948967191,,1.4359906071478181,/home/eecommu06/Documents/BT/Chili_CrossDataset/results/baselines/mobilenet_v2/pairwise/A_to_B/seed_42/metrics.json,A,B,0.0
baselines,within_cv,B_within,B,5.0,5.0,mobilenet_v2,46,cuda,True,6,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency|powdery_mildew,5714,635,1587,2231558,2231558,11,0.9871438019002005,748.7406919669993,1290.1484375,0.982356647763075,0.9846653536965061,0.9834891428460472,0.9846653536965061,0.9839664964298257,0.9964201610279418,0.9787122786430025,,0.5045181268453598,/home/eecommu06/Documents/BT/Chili_CrossDataset/results/baselines/mobilenet_v2/within_cv/B_within/seed_46/fold_05/metrics.json,,,
