,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,699,105,92,3
healthy,173,143,13,0
nutrient_deficiency,127,35,105,0
powdery_mildew,78,52,0,32
