,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,135,11,11,4
healthy,9,52,5,0
nutrient_deficiency,15,2,42,1
powdery_mildew,1,0,0,43
