,bacterial_spot,cercospora_leaf_spot,curl_virus,healthy,nutrient_deficiency,powdery_mildew
bacterial_spot,269,0,8,0,1,0
cercospora_leaf_spot,0,355,3,2,0,0
curl_virus,2,10,271,0,0,0
healthy,0,0,0,282,0,0
nutrient_deficiency,0,0,0,1,218,0
powdery_mildew,0,0,0,0,0,165
