epoch,learning_rate,train_accuracy,train_balanced_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_macro_specificity,train_mcc,train_auc_ovr_macro,train_loss,val_accuracy,val_balanced_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_macro_specificity,val_mcc,val_auc_ovr_macro,val_loss
1,9.999999999999999e-05,0.3997317236753856,0.5223662482148694,0.4337205847111668,0.5223662482148694,0.4117664106256448,0.806163641715798,0.24670080489584645,,1.2871802094134879,0.5481927710843374,0.6568783068783068,0.5787518308148466,0.6568783068783068,0.5604229104229104,0.8577764531800108,0.44313561581508204,0.835853552361247,1.1448908895254135
2,0.00019999999999999998,0.5969148222669349,0.7226774355945486,0.5914072261395182,0.7226774355945486,0.61366376731734,0.8680044701639589,0.47734124676891704,,0.9702615788642396,0.6746987951807228,0.7145502645502646,0.651514931630547,0.7145502645502646,0.6739670351438374,0.8866411671428169,0.5446169123125343,0.8932074020844323,0.9715644965569178
3,0.0003,0.7478202548625084,0.8192830360244066,0.7250679029752856,0.8192830360244066,0.7554083499553679,0.9161975511728226,0.6484108873963486,,0.8136847627923843,0.7710843373493976,0.7715608465608466,0.752007275132275,0.7715608465608466,0.7576941289360326,0.9137005573885711,0.6610736052456818,,0.8990695402026176
4,0.0003,0.8544600938967136,0.9005046540923046,0.8305688700524758,0.9005046540923046,0.8586280805092347,0.9508952768913297,0.786917463188668,,0.686315285398605,0.8072289156626506,0.8342151675485009,0.8024470899470898,0.8342151675485009,0.8137466298458236,0.9316912523943087,0.7252963401738763,,0.8781564980745316
5,0.0002994311073647159,0.8953722334004024,0.9251395691830353,0.8694480439766026,0.9251395691830353,0.8937780038564513,0.9647944870410816,0.8427494784300138,,0.6442572823230256,0.8072289156626506,0.8004629629629629,0.7882876382876383,0.8004629629629629,0.7886772486772486,0.9280556721526978,0.7148416387417577,,0.8368047426144282
6,0.0002977287590753251,0.9161636485580148,0.9424793782230388,0.8942474473705602,0.9424793782230388,0.9157681401104754,0.9716608300683556,0.8732919874371933,,0.6109968829662242,0.8253012048192772,0.8317901234567902,0.8144186046511628,0.8317901234567902,0.8192586399108137,0.9373196404903371,0.7460415030303381,,0.8571387752890587
7,0.00029490591103021566,0.9436619718309859,0.9589062087991583,0.9289501053627688,0.9589062087991583,0.9431024560083279,0.9801298587641609,0.9124547149015744,,0.5765547581175541,0.8253012048192772,0.8210778419111753,0.8311710096130386,0.8210778419111753,0.8234237802865254,0.9319621373828877,0.7403249245388009,,0.8410024146238962
8,0.00029098404680749326,0.9590878604963112,0.9720121084412936,0.9432911393151775,0.9720121084412936,0.9569182867929665,0.9855837591401692,0.9360915958898066,,0.550778255183646,0.8373493975903614,0.843805114638448,0.8232402344244449,0.843805114638448,0.8325270329823975,0.9402972603467762,0.7610336864734222,,0.8189561665058136
9,0.00028599301416197916,0.9490274983232729,0.9628334247428754,0.9333434079831814,0.9628334247428754,0.9472168424950752,0.9821680909279277,0.9207894828510046,,0.5678454307799644,0.8253012048192772,0.8254629629629631,0.8067134963304319,0.8254629629629631,0.8129638218923934,0.9350285676556274,0.7422096428921588,,0.8126205777128538
10,0.00027997079786577355,0.9570757880617036,0.9711375762671183,0.9394645794901084,0.9711375762671183,0.9543848857064576,0.9860920217671517,0.9335075202510367,,0.5501247910743065,0.8253012048192772,0.8254629629629631,0.830969887955182,0.8254629629629631,0.826565825478869,0.9299933810785073,0.7384577045745933,,0.8125505348046621
